id;label;latitude;longitude
71521070;"Name: Dyckerhoffstra·e; Station Number: 42500";5003131900;826254500
71521071;"Name: Erzbergerstra·e; Station Number: 42501";5001199100;822907600
71723314;"Name: Bahnhof Budenheim; Station Number: 42503";5002701400;817327000
71723315;"Name: Binger Stra·e; Station Number: 42502";5002489100;817347400
74471647;"Name: Am Gonsenheimer Wald; Station Number: 42505";5000479500;820110600
74472031;"Name: Am Gro·berg; Station Number: 42506";4997174600;828550700
74472032;"Name: Am Rîmerlager; Station Number: 42507";4999382100;826052500
74472033;"Name: Am Schinnergraben; Station Number: 42508";4996350600;828019900
74472034;"Name: Am Sportfeld; Station Number: 42509";5000729900;820822500
74472035;"Name: Am Zollhafen; Station Number: 42510";5001246400;826594600
74472036;"Name: An der Philippsschanze; Station Number: 42511";4999006300;826373100
74472037;"Name: Antenne Mainz / Martin-Luther-Str.; Station Number: 42512";4998239900;827963600
74472038;"Name: Bahnhof Rîmisches Theater; Station Number: 42513";4999354100;827839700
74472039;"Name: Bahnhof Rîmisches Theater 2; Station Number: 42514";4999469600;827668200
74472040;"Name: Bahnstra·e; Station Number: 42515";4998184600;824553400
74472041;"Name: Bastion Martin; Station Number: 42516";4999422200;826590300
74472042;"Name: Bauhofstra·e; Station Number: 42517";5000331600;826947300
74472043;"Name: Berliner Stra·e; Station Number: 42518";4998061900;826742600
74472044;"Name: Berufsschulzentrum; Station Number: 42519";5000562900;824428700
74472045;"Name: Bischofsplatz; Station Number: 42520";4999816700;827129700
74472046;"Name: Bismarckplatz; Station Number: 42521";5001272100;824920600
74472047;"Name: Boppstra·e; Station Number: 42522";5000466400;825993374
74472048;"Name: BrÅckenplatz; Station Number: 42523";5000321900;827392800
74472049;"Name: Buergerhaus Kostheim; Station Number: 42524";5000161200;830621700
74472050;"Name: Canisiusstrasse; Station Number: 42525";5000605700;821618600
74472051;"Name: Eleonorenstra·e; Station Number: 42526";5001638200;827335700
74472052;"Name: Emmerich-Josef-Stra·e; Station Number: 42527";4999689900;826524700
74472053;"Name: Erbacher Hof; Station Number: 42528";4999843600;827587600
74472054;"Name: Ernst-Ludwig-Platz; Station Number: 42529";5000513800;826879200
74472055;"Name: Favorite-Parkhotel; Station Number: 42530";4998996000;828966700
74472056;"Name: Feldbergstra·e; Station Number: 42531";5001055900;826065400
74472057;"Name: Flachsmarkt; Station Number: 42532";5000252000;827129400
74472058;"Name: Frauenlobplatz; Station Number: 42533";5000772500;826318300
74472059;"Name: Gartenfeldplatz; Station Number: 42534";5000581900;825949000
74472060;"Name: Goetheplatz; Station Number: 42535";5001135500;825482500
74472061;"Name: Goethestra·e; Station Number: 42536";5000914700;825213700
74472062;"Name: GonsbachgÑrten; Station Number: 42537";5000879100;823489400
74472063;"Name: Gro·e Bleiche; Station Number: 42538";5000263100;826706200
74472064;"Name: Gro·e Langgasse; Station Number: 42539";4999871100;826914000
74472065;"Name: Hafenstra·e; Station Number: 42540";5001020700;826617400
74472066;"Name: Hauptbahnhof West; Station Number: 42541";5000039200;825862900
74472067;"Name: HBF / Bonifaziusstra·e; Station Number: 42542";5000264000;825948000
74472068;"Name: HBF / Schottstra·e 1; Station Number: 42543";5000196300;826037500
74472069;"Name: HBF / Schottstra·e 2; Station Number: 42544";5000188500;826043000
74472070;"Name: Hindenburgplatz; Station Number: 42545";5000620800;826361800
74472071;"Name: Hochschule Mainz; Station Number: 42546";4998793500;822826600
74472072;"Name: Hîfchen; Station Number: 42547";4999968708;827168770
74472073;"Name: Holzstra·e; Station Number: 42548";4999615100;827649700
74472074;"Name: Jugendherberge; Station Number: 42549";4998641400;829506400
74472075;"Name: Juxplatz; Station Number: 42550";5000104800;820473000
74472076;"Name: Kaisertor; Station Number: 42551";5000960400;826890500
74472077;"Name: Kastel Bahnhof; Station Number: 42552";5000754900;828327300
74472079;"Name: Kronberger Hof; Station Number: 42554";5000049500;826870300
74472080;"Name: KurfÅrstliches Schloss; Station Number: 42555";5000746800;827041900
74472081;"Name: Kurmainz-Kaserne; Station Number: 42556";4997628300;826935800
74472082;"Name: Laubenheim Bahnhof; Station Number: 42557";4996120100;831363600
74472083;"Name: Laubenheimer Strasse; Station Number: 42558";4997570000;829641600
74472084;"Name: Lessingplatz; Station Number: 42559";5000785500;825712200
74472085;"Name: Lessingstra·e; Station Number: 42560";5000634400;825508000
74472086;"Name: Ludwig-Nauth-Stra·e; Station Number: 42561";4998052300;823718000
74472087;"Name: Ludwigsburger Stra·e; Station Number: 42562";5000590500;823933800
74472088;"Name: Mainzer MobilitÑt; Station Number: 42563";5001465600;825129200
74472089;"Name: Mainzer Stadtwerke AG; Station Number: 42564";5001067000;826378400
74472090;"Name: Malakoff-Terrasse; Station Number: 42565";4999573600;828215500
74472091;"Name: Malakoff-Terrasse 2; Station Number: 42566";4999579000;828168300
74472092;"Name: meinRad-Werkstatt / Obere Austra·e; Station Number: 42567";5001979000;825069500
74472093;"Name: Mombacher Tor; Station Number: 42568";5001040700;824387200
74472094;"Name: MÅhldreieck; Station Number: 42569";4995957200;826807000
74472095;"Name: MÅnchfeld; Station Number: 42570";4999671267;823012501
74472096;"Name: Sparkasse Mainz / Hintere Bleiche; Station Number: 42571";5000088600;826271200
74472097;"Name: Nahestra·e / Zollhafen; Station Number: 42572";5001408800;825854600
74472098;"Name: Neckarstra·e / Wallaustra·e; Station Number: 42573";5001128000;825973300
74472099;"Name: Neutorstra·e; Station Number: 42574";4999416700;827917500
74472100;"Name: Pariser Tor; Station Number: 42575";4998581400;826691700
74472101;"Name: Poststra·e; Station Number: 42576";4998922200;817858100
74472102;"Name: Proviantamt; Station Number: 42577";4999950100;826517200
74472103;"Name: Rathaus; Station Number: 42578";5000051900;827652000
74472104;"Name: Reduit; Station Number: 42579";5000605000;828239300
74472105;"Name: Rîmerpassage; Station Number: 42580";5000167900;826806100
74472106;"Name: Rîmerquelle; Station Number: 42581";4999562100;817493100
74472107;"Name: Schott AG / Nordbahnhof; Station Number: 42582";5001939700;824673000
74472108;"Name: Sîmmerringstra·e; Station Number: 42583";5001241500;825601900
74472109;"Name: Stadthaus; Station Number: 42584";5000223200;826097800
74472110;"Name: Stadtpark; Station Number: 42585";4999300400;828268100
74472111;"Name: Synagoge; Station Number: 42586";5000823500;825913300
74472112;"Name: Taubertsbergbad; Station Number: 42587";5000030700;825586300
74472113;"Name: Turnvater-Jahn-Stra·e; Station Number: 42588";4998333600;823999300
74472114;"Name: Uni / Forum; Station Number: 42589";4999441000;824418600
74472115;"Name: Uni / Haupteingang; Station Number: 42590";4999649400;824682100
74472116;"Name: Uni / Mensa; Station Number: 42591";4999191900;823482200
74472117;"Name: Uni / Muschel; Station Number: 42592";4999259500;824116200
74472118;"Name: UniversitÑtsmedizin SÅd; Station Number: 42593";4999031700;825671700
74472119;"Name: Uni / Wittichweg; Station Number: 42594";4999434800;823713000
74472120;"Name: Volkspark; Station Number: 42595";4998575200;828984200
